"Marca temporal","¿De qué grado eres?","Calificación obtenida en el grado anterior"," [Soy digna/o de aprecio, al menos en igual medida que los demás]"," [Estoy convencido de que tengo cualidades buenas]"," [Soy capaz de hacer las cosas tan bien como la mayoría de la gente.]"," [Tengo una actitud positiva hacia mi mismo/a]"," [En general estoy satisfecho/a de mi mismo/a]"," [Siento que no tengo mucho de lo que estar orgulloso/a.]"," [En general, me inclino a pensar que soy un fracasado/a.]"," [Me gustaría poder sentir más respeto por mi mismo.]"," [Hay veces que realmente pienso que soy un inútil.]"," [A veces creo que no soy buena persona.]"
"2024/04/24 9:43:07 p. m. GMT-4","12","100","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo"
"2024/04/24 9:43:56 p. m. GMT-4","11","94","Muy de acuerdo","De acuerdo","En desacuerdo","Muy en desacuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","De acuerdo","En desacuerdo","Muy en desacuerdo"
"2024/04/24 9:45:01 p. m. GMT-4","10","96.36","Muy de acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo"
"2024/04/24 9:46:21 p. m. GMT-4","11","89","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo"
"2024/04/24 9:43:07 p. m. GMT-4","12","100","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo"
"2024/04/24 9:46:21 p. m. GMT-4","11","89","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo"
"2024/04/24 9:43:56 p. m. GMT-4","11","94","Muy de acuerdo","De acuerdo","En desacuerdo","Muy en desacuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","De acuerdo","En desacuerdo","Muy en desacuerdo"
"2024/04/24 9:45:01 p. m. GMT-4","10","96.36","Muy de acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo"
"2024/04/24 9:45:01 p. m. GMT-4","11","97.5","Muy de acuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo"
"2024/04/24 9:43:56 p. m. GMT-4","10","85","Muy de acuerdo","Muy en desacuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo"
"2024/04/24 9:43:07 p. m. GMT-4","11","82.4","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo"
"2024/04/24 9:46:21 p. m. GMT-4","12","87.9","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo"
"2024/04/24 9:43:56 p. m. GMT-4","10","88.6","Muy de acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","Muy de acuerdo","En desacuerdo","Muy en desacuerdo"
"2024/04/24 9:45:01 p. m. GMT-4","11","81.2","Muy de acuerdo","Muy en desacuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo"
"2024/04/24 9:43:07 p. m. GMT-4","10","99.5","Muy de acuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo"
"2024/04/24 9:45:01 p. m. GMT-4","12","86.7","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo"
"2024/04/24 9:46:21 p. m. GMT-4","11","93.2","Muy de acuerdo","De acuerdo","En desacuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","De acuerdo"
"2024/04/24 9:43:07 p. m. GMT-4","12","83.2","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo"
"2024/04/24 9:43:56 p. m. GMT-4","11","81.8","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","En desacuerdo","Muy en desacuerdo"
"2024/04/24 9:45:01 p. m. GMT-4","10","90.4","Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo"
"2024/04/24 9:43:56 p. m. GMT-4","12","86.8","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo","De acuerdo"
"2024/04/24 9:43:07 p. m. GMT-4","11","85.6","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","Muy en desacuerdo"
"2024/04/24 9:45:01 p. m. GMT-4","12","88.2","Muy de acuerdo","Muy en desacuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","De acuerdo","De acuerdo"
"2024/04/24 9:43:56 p. m. GMT-4","10","89.7","Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo"
"2024/04/24 9:43:07 p. m. GMT-4","11","97.8","Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","De acuerdo"
"2024/04/24 9:46:21 p. m. GMT-4","12","82.5","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo"
"2024/04/24 9:45:01 p. m. GMT-4","10","82.1","Muy de acuerdo","Muy en desacuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","Muy en desacuerdo"
"2024/04/24 9:43:56 p. m. GMT-4","11","84.3","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","Muy en desacuerdo"
"2024/04/24 9:43:07 p. m. GMT-4","12","81.4","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo"
"2024/04/24 9:46:21 p. m. GMT-4","11","89.9","Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo"
"2024/04/24 9:43:56 p. m. GMT-4","10","95.2","Muy de acuerdo","De acuerdo","En desacuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","Muy de acuerdo"
"2024/04/24 9:45:01 p. m. GMT-4","11","87.1","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","De acuerdo"
"2024/04/24 9:43:07 p. m. GMT-4","10","83.9","Muy de acuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","Muy en desacuerdo","Muy de acuerdo"
"2024/04/24 9:46:21 p. m. GMT-4","12","89.5","Muy de acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","Muy de acuerdo"
"2024/04/24 9:43:56 p. m. GMT-4","11","88.8","Muy de acuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy en desacuerdo"
"2024/04/24 9:45:01 p. m. GMT-4","10","92.7","Muy de acuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","De acuerdo"
"2024/04/24 9:43:07 p. m. GMT-4","12","91.3","Muy de acuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo","De acuerdo"
"2024/04/24 9:46:21 p. m. GMT-4","11","92.8","Muy de acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","Muy de acuerdo"
"2024/04/24 9:43:56 p. m. GMT-4","10","83.6","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo"
"2024/04/24 9:45:01 p. m. GMT-4","12","90.1","Muy de acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo"
"2024/04/24 9:46:21 p. m. GMT-4","10","91.8","Muy de acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","Muy de acuerdo"
"2024/04/24 9:43:56 p. m. GMT-4","12","86.2","Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo","De acuerdo"
"2024/04/24 9:45:01 p. m. GMT-4","11","90.3","Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo"
"2024/04/24 9:43:07 p. m. GMT-4","10","87.3","Muy de acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","Muy en desacuerdo"
